samples	spotfiles	imgs	scaleVisium	slide_id	name
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_A_Sham/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_A_Sham/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_A_Sham/outs/spatial/tissue_hires_image.png	0.14949918	1wk_sham	Sham_1wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_B_Infarct/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_B_Infarct/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_B_Infarct/outs/spatial/tissue_hires_image.png	0.1384083	1wk_Media	Media_1wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_C_Rep1/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_C_Rep1/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_C_Rep1/outs/spatial/tissue_hires_image.png	0.14947683	1wk_Rep1	Rep1_1wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_D_Rep2/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_D_Rep2/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk1_D_Rep2/outs/spatial/tissue_hires_image.png	0.1495327	1wk_Rep2	Rep2_1wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_A_Sham/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_A_Sham/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_A_Sham/outs/spatial/tissue_hires_image.png	0.14763416	4wk_sham	Sham_4wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_B_Infarct/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_B_Infarct/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_B_Infarct/outs/spatial/tissue_hires_image.png	0.117364004	4wk_Media	Media_4wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_C_Rep1/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_C_Rep1/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_C_Rep1/outs/spatial/tissue_hires_image.png	0.12692772	4wk_Rep1	Rep1_4wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_D_Rep2/outs/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_D_Rep2/outs/spatial/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_ALL_Chronic/TESTING/TEST_Wk4_D_Rep2/outs/spatial/tissue_hires_image.png	0.149488	4wk_Rep2	Rep2_4wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Sham/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Sham/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Sham/tissue_hires_image.png	0.44812906	12wk_sham	Sham_12wk
/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Media/filtered_feature_bc_matrix.h5	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Media/tissue_positions_list.csv	/Users/swarnaseetha/Dropbox/DukeNUS_nbox_27Feb2024/CM_ST_acute_chronic/counts/12wk_Media/tissue_hires_image.png	0.4359198	12wk_Media	Media_12wk
